File	Left Context	Hit	Right Context
2023-11-03_00-59-37_UTC.txt	respects a woman without honor and without education. Furthermore, unfortunately 	feminist women 	are not loved by their husbands. But do 
2023-11-03_00-59-37_UTC.txt	not loved by their husbands. But do you know why 	feminist women 	are not loved by their husbands? Feminist women 
2023-11-03_00-59-37_UTC.txt	to several people when she goes to make a "protest". 	Feminist women 	are not respected, because no one respects a 
2023-11-03_00-59-37_UTC.txt	know why feminist women are not loved by their husbands? 	Feminist women 	are not loved by their husbands because they 
2023-11-18_12-00-56_UTC.txt	want; that feminist women can do whatever they want; that 	feminist women 	are superior to men; that feminist women are 
2023-11-18_12-00-56_UTC.txt	they want; that feminist women are superior to men; that 	feminist women 	are superior to traditional women; that feminist women 
2023-11-18_12-00-56_UTC.txt	they want without suffering the consequences of their actions; that 	feminist women 	are always right about absolutely everything; that feminist 
2024-06-23_18-14-20_UTC.txt	be man's helper. And that's why modern and 	feminist women 	are so angry! These women get angry and 
2023-11-18_12-00-56_UTC.txt	all women that they can be whatever they want; that 	feminist women 	can do whatever they want; that feminist women 
2023-11-18_12-00-56_UTC.txt	women; that feminist women do not depend on anyone; that 	feminist women 	can do whatever they want without suffering the 
2023-11-18_12-00-56_UTC.txt	you into a spoiled child!   But why does feminism turn 	feminist women 	into spoiled children?   Well, feminism turns feminist women 
2023-11-18_12-00-56_UTC.txt	feminism turn feminist women into spoiled children?   Well, feminism turns 	feminist women 	into spoiled children because the feminist movement tells 
2023-11-18_12-00-56_UTC.txt	makes women think they are like "goddesses". That's why 	feminist women 	act like spoiled children. Yes, that's exactly 
2024-06-28_16-09-56_UTC.txt	to her husband. This happens because women are becoming modern/	feminist women 	and this is something extremely serious.  Woman, don'
2023-11-18_12-00-56_UTC.txt	that feminist women are always right about absolutely everything; that 	feminist women 	are “empowered goddesses”; etc...   Well, reading everything I 
2023-11-10_21-03-58_UTC.txt	and good housewives! And as if that weren't enough, 	feminist women 	commit humiliation against traditional women who want to 
2024-06-21_19-24-56_UTC.txt	that you made the right choice! But modern women and 	feminist women 	didn't make the right choice (and they 
2023-11-18_12-00-56_UTC.txt	men; that feminist women are superior to traditional women; that 	feminist women 	do not depend on anyone; that feminist women 
2024-06-23_18-14-20_UTC.txt	a woman should not be housewife. But these modern and 	feminist women 	have forgotten that woman was created by the 
2023-11-02_17-59-39_UTC.txt	🌻 While 	feminist women 	say they are happy and free because they 
2024-06-23_18-14-20_UTC.txt	💐 Modern and 	feminist women 	say (discreetly and in other words) that a 
2022-02-08_21-27-44_UTC.txt	God requires of them. On the contrary, I’ve had 	feminist women 	tell that they could never be happy being 
2024-04-20_20-37-14_UTC.txt	aged white men. Just poking fun at the irony of 	feminist women 	who want to smash the patriarchy and hate 
2023-07-08_23-45-13_UTC.txt	created. This movement is only pulling our society back and 	feminist women 	will contribute far less to society than a 
2023-01-05_12-00-40_UTC.txt	whether she is feminine or masculine when duel happens.  #feminism #	feminist #women #	womenempowerment #womensupportingwomen #metoo #feminismiscancer #FutureIsFemale #futureismale #games #feminismmemes #
2024-06-29_17-54-54_UTC.txt	daughters will be transformed into arrogant, modern, vulgar, promiscuous and 	feminist women. 	And your daughters will support abortion, because the 
