File	Left Context	Hit	Right Context
2023-11-03_00-59-37_UTC.txt	🌻 The 	feminist woman 	is jealous of the conservative woman, because the 
2023-11-03_00-59-37_UTC.txt	loved by her husband!   Yes, that's the truth: the 	feminist woman 	is jealous of the conservative woman, because the 
2023-10-28_23-54-29_UTC.txt	your husband without submission and with disrespect!   Yes! Being a 	feminist woman 	is a reason to feel shame and be 
2023-11-03_00-59-37_UTC.txt	to stop following the feminist movement! That's right! A 	feminist woman 	is not honorable because she loses all her 
2023-11-03_00-59-37_UTC.txt	when she DOESN'T HAVE A HUSBAND?   Well, as the 	feminist woman 	does not have honor, respect and love from 
2023-11-03_00-59-37_UTC.txt	the conservative woman, because the conservative woman has what the 	feminist woman 	doesn't have and will never have to 
2024-06-24_16-02-54_UTC.txt	about the feminist movement and modernism. If you are a 	feminist woman 	I want you to know that I am 
2024-06-27_17-11-04_UTC.txt	stronger than us women. And if you are a modern/	feminist woman, 	I want you to know that biology is 
2024-06-29_17-54-54_UTC.txt	will teach your daughter that if she becomes a modern/	feminist woman, 	she will be a truly free woman and 
2023-11-09_12-57-00_UTC.txt	🌻 Don't be a 	feminist woman. 	Be a feminine woman! But do you know 
2024-06-28_16-09-56_UTC.txt	t be a modern woman and don't be a 	feminist woman. 	In fact, be a traditional woman and submissive 
2024-06-29_13-23-16_UTC.txt	all, why would this type of man marry a modern/	feminist woman? 	It makes no sense!  #redpill #redpilled #traditionalism #traditionalismnotmodernism #
2023-10-28_23-54-29_UTC.txt	woman who treats her husband this way is like a 	feminist woman? 	It's because feminism says that we women 
2023-10-28_23-54-29_UTC.txt	of those things that feminism preaches.... Congratulations, you are a 	feminist woman!  #	redpill #redpilled #traditionalism #traditionalismnotmodernism #antifeminism #antifeminismus #modernism #modernismweek #
2023-08-15_15-10-32_UTC.txt	I would rather be feminine than feminist.    The most 	feminist woman-	empowering thing I do is recognize my sacred 
2023-05-10_02-53-35_UTC.txt	see it now - it’s already begun. The new “modern 	feminist woman” 	tracks her cycles instead of using birth control, 
2023-11-14_22-30-01_UTC.txt	am woman, hear me roar 🦁 📣   Let's take back real 	feminist woman🤜🤛  #	realfeminism #homemaker #homeschoollife #traditionalliving #conservativewomen #mommotivation #wildandfree #womenoffaith #
